Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_0144465590218939;1;diabetes;insulin receptor (rej);0.662;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0144465590218939;2;insulin;insulin secretion;0.887;3;match válido;Qwen3.5-4B-QLoRA
ID_0144465590218939;3;insulin resistance;insulin receptor (rej);0.785;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0144465590218939;4;insulin receptor;insulin receptor;1.000;3;match válido;Qwen3.5-4B-QLoRA
ID_0144465590218939;5;insulin signaling;insulin receptor (rej);0.911;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0144465590218939;6;insulin signaling pathway;insulin receptor (rej);0.887;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0144465590218939;7;insulin sensitivity;soleus insulin response;0.774;2;match válido;Qwen3.5-4B-QLoRA
ID_0144465590218939;8;insulin sensitivity and some;insulin receptor (rej);0.856;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0144465590218939;9;insulin receptor substrate;insulin receptor (rej);0.951;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0144465590218939;10;;;;;;Qwen3.5-4B-QLoRA
ID_0144465590218939;11;;;;;;Qwen3.5-4B-QLoRA
ID_0144465590218939;12;;;;;;Qwen3.5-4B-QLoRA
ID_0144465590218939;13;;;;;;Qwen3.5-4B-QLoRA
ID_0144465590218939;14;;;;;;Qwen3.5-4B-QLoRA
ID_0144465590218939;15;;;;;;Qwen3.5-4B-QLoRA
ID_0144465590218939;16;;;;;;Qwen3.5-4B-QLoRA
ID_0144465590218939;17;;;;;;Qwen3.5-4B-QLoRA
ID_0144465590218939;18;;;;;;Qwen3.5-4B-QLoRA
ID_0144465590218939;19;;;;;;Qwen3.5-4B-QLoRA
ID_0144465590218939;20;;;;;;Qwen3.5-4B-QLoRA
ID_0170762259145267;1;irrigation;irrigação e doses;0.867;3;match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;2;irrigação;irrigação;1.000;3;match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;3;irrigação localizada;irrigação (rej);0.950;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;4;localised irrigation;irrigação (rej);0.836;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;5;localised irrigation systems;irrigação (rej);0.803;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;6;lâminas de irrigação;lâminas de irrigação;1.000;3;match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;7;lâminas de irrigação localizada;lâminas de irrigação (rej);0.974;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;8;maracujazeiro;pós-colheita da mangueira (rej);0.435;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;9;monitoring solutes;solute dynamics (rej);0.600;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;10;peanut;peanut plants;0.832;3;match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;11;peanut kernel;grão de amendoim;0.768;3;match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;12;potassium;potássio no solo;0.788;3;match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;13;potassium displacement;potassium displacement;1.000;3;match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;14;radiation attenuation;incident solar radiation (rej);0.662;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;15;sandy texture;sandy texture;1.000;3;match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;16;solute displacement;solute displacement;1.000;3;match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;17;solute displacement below;solute dynamics;0.778;3;match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;18;solutions of potassium;potassium displacement (rej);0.844;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;19;solutions of potassium nitrate;potassium displacement (rej);0.762;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0170762259145267;20;solutions of potassium nitrate and calcium;potássio no solo (rej);0.776;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;1;early oral squamous cell;oral squamous cell;0.945;2;match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;2;early oral squamous cell carcinomas;oral cancer;0.782;3;match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;3;head and neck squamous cell;head and neck squamous cell carcinoma (rej);0.846;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;4;head and neck squamous cell carcinomas;squamous cell carcinoma;0.863;2;match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;5;head and neck squamous cell carcinomas (hnscc);head and neck squamous cell carcinoma (rej);0.934;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;6;head and neck squamous cell carcinoma;head and neck squamous cell carcinoma;1.000;3;match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;7;head and neck squamous cell carcinomas, oral squamous cell carcinoma;head and neck squamous cell carcinoma (rej);0.944;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;8;head and neck tumors;head and neck cancer;0.960;3;match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;9;head and neck tumors, oral squamous cell;head and neck squamous cell carcinoma (rej);0.892;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;10;head and neck tumors, squamous cell;head and neck neoplasms;0.760;3;match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;11;head and neck tumors, squamous cell carcinoma;câncer de cabeça;0.820;2;match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;12;head and neck tumors, squamous cell carcinomas;neck cancer;0.776;2;match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;13;head and neck tumors, squamous cell carcinomas, oral squamous cell;head and neck squamous cell carcinoma (rej);0.941;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0174325304693036;14;;;;;;Qwen3.5-4B-QLoRA
ID_0174325304693036;15;;;;;;Qwen3.5-4B-QLoRA
ID_0174325304693036;16;;;;;;Qwen3.5-4B-QLoRA
ID_0174325304693036;17;;;;;;Qwen3.5-4B-QLoRA
ID_0174325304693036;18;;;;;;Qwen3.5-4B-QLoRA
ID_0174325304693036;19;;;;;;Qwen3.5-4B-QLoRA
ID_0174325304693036;20;;;;;;Qwen3.5-4B-QLoRA
ID_0228970585981305;1;anionic micellar;intramolecular catalysis (rej);0.446;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0228970585981305;2;anionic micellar solution;intramolecular catalysis (rej);0.552;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0228970585981305;3;anionic micellar solutions;phosphorothioate triesters (rej);0.526;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0228970585981305;4;bis(2,4-dinitrophenyl) phosphate;phosphate;0.769;1;match válido;Qwen3.5-4B-QLoRA
ID_0228970585981305;5;bis(2,4-dinitrophenyl) phosphates;phosphate (rej);0.753;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0228970585981305;6;bis(2,4-dinitrophenyl)phosphate;phosphate (rej);0.741;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0228970585981305;7;bis(2,4-dinitrophenyl)phosphates;phosphate (rej);0.723;0;sem match válido;Qwen3.5-4B-QLoRA
ID_0228970585981305;8;;;;;;Qwen3.5-4B-QLoRA
ID_0228970585981305;9;;;;;;Qwen3.5-4B-QLoRA
ID_0228970585981305;10;;;;;;Qwen3.5-4B-QLoRA
ID_0228970585981305;11;;;;;;Qwen3.5-4B-QLoRA
ID_0228970585981305;12;;;;;;Qwen3.5-4B-QLoRA
ID_0228970585981305;13;;;;;;Qwen3.5-4B-QLoRA
ID_0228970585981305;14;;;;;;Qwen3.5-4B-QLoRA
ID_0228970585981305;15;;;;;;Qwen3.5-4B-QLoRA
ID_0228970585981305;16;;;;;;Qwen3.5-4B-QLoRA
ID_0228970585981305;17;;;;;;Qwen3.5-4B-QLoRA
