Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_9350794843721516;1;quimica do solo;professores de química (rej);0.713;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;2;mineralogia;mineralogy;0.947;2;match válido;Qwen3.5-4B
ID_9350794843721516;3;solos tropicais;sugar cane (rej);0.435;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;4;argilominerais;argila de solos (rej);0.748;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;5;capacidade de troca cationica;effective cation exchange;0.832;1;match válido;Qwen3.5-4B
ID_9350794843721516;6;area superficial especifica;specific surface;0.845;2;match válido;Qwen3.5-4B
ID_9350794843721516;7;magnetita;specific surface (rej);0.408;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;8;maghemita;argila de solos (rej);0.442;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;9;nanoparticulas magneticas;low cristalinity aluminosilicate (rej);0.376;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;10;coprecipitacao;occlusion (rej);0.652;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;11;biossorcao;corante reativo azul (rej);0.433;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;12;lignina funcionalizada;functionalized formic lignin;0.863;3;match válido;Qwen3.5-4B
ID_9350794843721516;13;adsorcao de metais pesados;diferentes materiais (rej);0.648;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;14;cobre;predominant mineral (rej);0.617;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;15;cromo;corante reativo azul (rej);0.557;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;16;cobre ii;predominant mineral (rej);0.591;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;17;cadmio;organic matter (rej);0.516;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;18;chumbo;sugar cane (rej);0.326;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;19;fitodisponibilidade;argila de solos (rej);0.474;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;20;toxicidade maghemita;present in concentrations (rej);0.554;0;sem match válido;Qwen3.5-4B
ID_8752453650114092;1;estresse oxidativo;oxidative stress;0.979;3;match válido;Qwen3.5-4B
ID_8752453650114092;2;radicais livres;guanosine (rej);0.282;0;sem match válido;Qwen3.5-4B
ID_8752453650114092;3;antioxidantes;antioxidant;0.987;2;match válido;Qwen3.5-4B
ID_8752453650114092;4;selenio orgânico;selenium (rej);0.864;0;sem match válido;Qwen3.5-4B
ID_8752453650114092;5;dipenil disseleneto;δ-aminolevulinate dehydratase (rej);0.537;0;sem match válido;Qwen3.5-4B
ID_8752453650114092;6;glutationa;glutamate uptake;0.841;2;match válido;Qwen3.5-4B
ID_8752453650114092;7;mitocôndria;mitochondrial dysfunction (rej);0.746;0;sem match válido;Qwen3.5-4B
